,number,symbol,chart_col,chart_row,chart_x,source,percent,format_percent,source_str,percent_str,source_word
139,77,Ir,9.0,6.0,169.0,"['o', 'y']","['0.985', '0.015']",%.0f,y,0.015,Dying low-mass stars
140,78,Pt,10.0,6.0,155.0,"['o', 'y']","['0.947', '0.053']",%.0f,o,0.947,Merging neutron stars
141,78,Pt,10.0,6.0,155.0,"['o', 'y']","['0.947', '0.053']",%.0f,y,0.053,Dying low-mass stars
142,79,Au,11.0,6.0,153.0,"['o', 'y']","['0.940', '0.060']",%.0f,o,0.940,Merging neutron stars
143,79,Au,11.0,6.0,153.0,"['o', 'y']","['0.940', '0.060']",%.0f,y,0.060,Dying low-mass stars
144,80,Hg,12.0,6.0,81.0,"['o', 'y']","['0.383', '0.617']",%.0f,o,0.383,Merging neutron stars
145,80,Hg,12.0,6.0,81.0,"['o', 'y']","['0.383', '0.617']",%.0f,y,0.617,Dying low-mass stars
146,81,Tl,13.0,6.0,63.0,"['o', 'y']","['0.232', '0.768']",%.0f,o,0.232,Merging neutron stars
147,81,Tl,13.0,6.0,63.0,"['o', 'y']","['0.232', '0.768']",%.0f,y,0.768,Dying low-mass stars
148,82,Pb,14.0,6.0,95.0,"['o', 'y']","['0.527', '0.473']",%.0f,o,0.527,Merging neutron stars
149,82,Pb,14.0,6.0,95.0,"['o', 'y']","['0.527', '0.473']",%.0f,y,0.473,Dying low-mass stars
150,83,Bi,15.0,6.0,176.0,"['o', 'y']","['0.995', '0.005']",%.1f,o,0.995,Merging neutron stars
151,83,Bi,15.0,6.0,176.0,"['o', 'y']","['0.995', '0.005']",%.1f,y,0.005,Dying low-mass stars
152,84,Po,16.0,6.0,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
153,85,At,17.0,6.0,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
154,86,Rn,18.0,6.0,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
155,87,Fr,1.0,7.0,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
156,88,Ra,2.0,7.0,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
157,89,Ac,4.0,8.5,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
158,90,Th,5.0,8.5,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
159,91,Pa,6.0,8.5,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
160,92,U,7.0,8.5,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
161,93,Np,8.0,8.5,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
162,94,Pu,9.0,8.5,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
163,95,Am,10.0,8.5,0.0,['z'],['1.000'],%.0f,z,1.000,Human synthesis
164,96,Cm,11.0,8.5,0.0,['z'],['1.000'],%.0f,z,1.000,Human synthesis
165,97,Bk,12.0,8.5,0.0,['z'],['1.000'],%.0f,z,1.000,Human synthesis
166,98,Cf,13.0,8.5,0.0,['z'],['1.000'],%.0f,z,1.000,Human synthesis
167,99,Es,14.0,8.5,0.0,['z'],['1.000'],%.0f,z,1.000,Human synthesis
168,100,Fm,15.0,8.5,0.0,['z'],['1.000'],%.0f,z,1.000,Human synthesis
169,101,Md,16.0,8.5,0.0,['z'],['1.000'],%.0f,z,1.000,Human synthesis
170,102,No,17.0,8.5,0.0,['z'],['1.000'],%.0f,z,1.000,Human synthesis
171,103,Lr,18.0,8.5,0.0,['z'],['1.000'],%.0f,z,1.000,Human synthesis
172,104,,3.25,0.9,0.0,['b'],['1.000'],%.0f,b,1.000,Big Bang fusion
173,105,,3.25,2.4,0.0,['j'],['1.000'],%.0f,j,1.000,Cosmic ray fission
174,106,,5.8,0.9,0.0,['y'],['1.000'],%.0f,y,1.000,Dying low-mass stars
175,107,,5.8,2.4,0.0,['o'],['1.000'],%.0f,o,1.000,Merging neutron stars
176,108,,8.7,0.9,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
177,109,,8.7,2.4,0.0,['c'],['1.000'],%.0f,c,1.000,Exploding white dwarfs
178,110,,11.7,0.9,0.0,['z'],['1.000'],%.0f,z,1.000,Human synthesis
